hashname,20250412_PC_gNODE_sweep_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_vf_hidden_size,_vf_num_layers,_output_nonlinearity,_heldin_size,_heldout_size,_alpha,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion
d4dfdc16,3,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
d4dfdc16,3,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
b77e32df,5,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
b77e32df,5,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
047eb157,10,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
047eb157,10,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
734917aa,32,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
9dc644f8,64,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
734917aa,32,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
9dc644f8,64,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,250,300,1.00E-01,250,50,1.00E+00,softplus,poisson,1.00E+00
3cdf23ce,32,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.00E+00,softplus,poisson,1.00E+00
3d84f657,128,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.00E+00,softplus,poisson,1.00E+00
