hashname,20250413_PClicks_NoisyGRU_final2_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
5203707a,10,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971448183059692,0.9933356642723083,0.22613108158111572,0.998367428779602
fb18738e,64,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062
5203707a,10,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971448183059692,0.9933356642723083,0.22613108158111572,0.998367428779602
fb18738e,64,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062
4ac7f7e5,32,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9751585721969604,0.9924088716506958,0.22626946866512299,0.9819700717926025
488a7510,3,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9983063340187073,0.9864235520362854,0.22445130348205566,1.0
81cf122c,64,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8427779674530029,0.9912645816802979,0.2259909063577652,0.8416082262992859
bbdaadc8,5,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9977960586547852,0.9881276488304138,0.22501333057880402,0.9986145496368408
63d789d4,2,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9963787198066711,0.9661087393760681,0.22102102637290955,1.0
e6275718,10,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971912503242493,0.9920130968093872,0.2260047197341919,0.9992515444755554
a701dc07,32,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9729240536689758,0.9930098056793213,0.22627989947795868,0.9794315695762634
e6275718,10,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971912503242493,0.9920130968093872,0.2260047197341919,0.9992515444755554
81cf122c,64,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8427779674530029,0.9912645816802979,0.2259909063577652,0.8416082262992859
488a7510,3,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9983063340187073,0.9864235520362854,0.22445130348205566,1.0
63d789d4,2,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9963787198066711,0.9661087393760681,0.22102102637290955,1.0
bbdaadc8,5,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9977960586547852,0.9881276488304138,0.22501333057880402,0.9986145496368408
a701dc07,32,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9729240536689758,0.9930098056793213,0.22627989947795868,0.9794315695762634
65ff784b,2,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9956635236740112,0.9663193225860596,0.22083649039268494,1.0
caa67dc7,3,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998537540435791,0.9856546521186829,0.2244904339313507,1.0
65ff784b,2,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9956635236740112,0.9663193225860596,0.22083649039268494,1.0
caa67dc7,3,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998537540435791,0.9856546521186829,0.2244904339313507,1.0
04f118b3,5,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998073160648346,0.9895228743553162,0.22526481747627258,0.9986547231674194
5203707a,10,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971448183059692,0.9933356642723083,0.22613108158111572,0.998367428779602
04f118b3,5,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998073160648346,0.9895228743553162,0.22526481747627258,0.9986547231674194
5203707a,10,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971448183059692,0.9933356642723083,0.22613108158111572,0.998367428779602
4ac7f7e5,32,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9751585721969604,0.9924088716506958,0.22626946866512299,0.9819700717926025
4ac7f7e5,32,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9751585721969604,0.9924088716506958,0.22626946866512299,0.9819700717926025
fb18738e,64,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062
fb18738e,64,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062
b67d9926,64,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7905879616737366,0.4118238389492035,0.08396976441144943,0.997506320476532
8b95b1f5,32,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9029650092124939,0.7898401021957397,0.16533982753753662,0.9987745881080627
efe15f6a,256,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7048625946044922,0.47670596837997437,0.10113435238599777,0.9946269989013672
4abacb9e,512,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8218726515769958,0.6727588176727295,0.1445925235748291,0.9993359446525574
25da195e,128,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8226228356361389,0.6317758560180664,0.13239797949790955,0.9922075867652893
b67d9926,64,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7905879616737366,0.4118238389492035,0.08396976441144943,0.997506320476532
8b95b1f5,32,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9029650092124939,0.7898401021957397,0.16533982753753662,0.9987745881080627
efe15f6a,256,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7048625946044922,0.47670596837997437,0.10113435238599777,0.9946269989013672
80a77dd3,32,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9028757214546204,0.7898921370506287,0.16525405645370483,0.9987804293632507
4abacb9e,512,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8218726515769958,0.6727588176727295,0.1445925235748291,0.9993359446525574
25da195e,128,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8226228356361389,0.6317758560180664,0.13239797949790955,0.9922075867652893
80a77dd3,32,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9028757214546204,0.7898921370506287,0.16525405645370483,0.9987804293632507
01743df6,64,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7931154370307922,0.41275832056999207,0.08415783196687698,0.9975075721740723
01743df6,64,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7931154370307922,0.41275832056999207,0.08415783196687698,0.9975075721740723
34218555,128,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8223255276679993,0.63107830286026,0.1322784721851349,0.9922210574150085
34218555,128,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8223255276679993,0.63107830286026,0.1322784721851349,0.9922210574150085
2108a045,256,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7038118839263916,0.47423309087753296,0.10072556138038635,0.9946427941322327
