hashname,model,_latent_size,_output_nonlinearity,_heldin_size,_vf_hidden_size,_vf_num_layers,model_type,category,subcategory
26784770,fr,128,300,280,,280.0,node,underfitting,low_co_high_cycle
e9d58413,fr,256,300,280,,280.0,node,underfitting,low_co_high_cycle
e9d58413,fr,256,300,280,,280.0,node,underfitting,low_co_high_cycle
ab17c719,fr,64,300,200,torch.nn.functional.softplus,200.0,node,underfitting,low_co_high_cycle
ab17c719,fr,64,300,200,torch.nn.functional.softplus,200.0,node,underfitting,low_co_high_cycle
4925fdf9,fr,64,300,200,,200.0,node,underfitting,low_co_high_cycle
4925fdf9,fr,64,300,200,,200.0,node,underfitting,low_co_high_cycle
bc117a87,gnode,2,300,200,torch.nn.functional.softplus,200.0,node,top_performers,with_ground_truth
bc117a87,gnode,2,300,200,torch.nn.functional.softplus,200.0,node,top_performers,with_ground_truth
17674d60,gnode,2,300,200,torch.nn.functional.softplus,200.0,node,top_performers,with_ground_truth
17674d60,gnode,2,300,200,torch.nn.functional.softplus,200.0,node,top_performers,with_ground_truth
0dba453e,node,2,300,280,,280.0,node,top_performers,without_ground_truth
0dba453e,node,2,300,280,,280.0,node,top_performers,without_ground_truth
d3a07ea8,node,2,300,280,torch.nn.functional.softplus,280.0,node,top_performers,without_ground_truth
d3a07ea8,node,2,300,280,torch.nn.functional.softplus,280.0,node,top_performers,without_ground_truth
