hashname,model,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
259a0163,gnode,3,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f741e874,gnode,64,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.7250851988792419,0.9949243664741516,0.2734686136245727,0.8289747834205627
9cc4086f,gnode,3,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9815545082092284,0.9985865354537964,0.2739430963993072,0.999964714050293
a5d99819,gnode,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9013886451721193,0.9967837929725648,0.2737063765525818,0.8578937649726868
bc117a87,gnode,2,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9861538410186768,0.999436378479004,0.2740353345870971,1.0
139f0ce9,gnode,5,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9804762005805968,0.9987450242042542,0.2740019261837005,0.9998313188552856
bd5f9f30,gnode,10,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9771947264671326,0.9990947246551514,0.2740806341171264,0.9978119730949402
9cc4086f,gnode,3,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9815545082092284,0.9985865354537964,0.2739430963993072,0.999964714050293
f741e874,gnode,64,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.7250851988792419,0.9949243664741516,0.2734686136245727,0.8289747834205627
a5d99819,gnode,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9013886451721193,0.9967837929725648,0.2737063765525818,0.8578937649726868
