hashname,model,_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_vf_hidden_size,_vf_num_layers,_output_nonlinearity,_heldin_size,_heldout_size,_alpha,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,state_r2,rate_r2,co-bps,cycle_con
7d511902,node,3,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9708377122879028,0.9993685483932496,0.2812133133411407,0.9999736547470092
2a457ed5,node,10,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9632751941680908,0.9992552399635316,0.2811635434627533,0.9991374611854552
2a457ed5,node,10,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9632751941680908,0.9992552399635316,0.2811635434627533,0.9991374611854552
8aba258a,node,32,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9074147939682008,0.9979655146598816,0.2808267772197723,0.968312680721283
8aba258a,node,32,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9074147939682008,0.9979655146598816,0.2808267772197723,0.968312680721283
cd9a7f6e,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.7494844794273376,0.9959921836853028,0.2803240716457367,0.8829927444458008
cd9a7f6e,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.7494844794273376,0.9959921836853028,0.2803240716457367,0.8829927444458008
0cc3384a,node,2,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9695518016815186,0.9996906518936156,0.281283974647522,1.0
d7001813,node,3,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9708458185195924,0.9993691444396972,0.2812133133411407,0.999973475933075
0cc3384a,node,2,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9695518016815186,0.9996906518936156,0.281283974647522,1.0
d7001813,node,3,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9708458185195924,0.9993691444396972,0.2812133133411407,0.999973475933075
6bd5e9f9,node,5,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.969000518321991,0.9987325072288512,0.2810247540473938,0.9998717308044434
6bd5e9f9,node,5,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.969000518321991,0.9987325072288512,0.2810247540473938,0.9998717308044434
80fc3361,node,10,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9632573127746582,0.9992542266845704,0.2811640799045563,0.9991262555122375
80fc3361,node,10,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9632573127746582,0.9992542266845704,0.2811640799045563,0.9991262555122375
b9fe2392,node,32,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9073686003684998,0.9979572892189026,0.2808214724063873,0.9682871103286744
2decde61,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.7495462894439697,0.996005356311798,0.2803267240524292,0.8832191228866577
b9fe2392,node,32,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.9073686003684998,0.9979572892189026,0.2808214724063873,0.9682871103286744
2decde61,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,poisson,1.0,0.7495462894439697,0.996005356311798,0.2803267240524292,0.8832191228866577
bb6d13e5,gru,512,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.6683540344238281,0.5797573924064636,0.142008751630783,0.9995513558387756
667d6c05,gru,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8118053078651428,0.7637279033660889,0.2139040231704712,0.9994149208068848
9d8418cd,gru,64,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8293372988700867,0.7534361481666565,0.2073665112257003,0.9946629405021667
b0c84d10,gru,128,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.7655442953109741,0.6729120016098022,0.189921036362648,0.9980708360671996
10fd576c,gru,32,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.6528865694999695,0.6200821399688721,0.1701241880655288,0.9962494373321532
667d6c05,gru,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8118053078651428,0.7637279033660889,0.2139040231704712,0.9994149208068848
bb6d13e5,gru,512,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.6683540344238281,0.5797573924064636,0.142008751630783,0.9995513558387756
fc849e05,gru,32,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,poisson,1.0,0.6542074680328369,0.6208186745643616,0.1703412681818008,0.996240258216858
9d8418cd,gru,64,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.8293372988700867,0.7534361481666565,0.2073665112257003,0.9946629405021667
10fd576c,gru,32,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.6528865694999695,0.6200821399688721,0.1701241880655288,0.9962494373321532
b0c84d10,gru,128,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,poisson,1.0,0.7655442953109741,0.6729120016098022,0.189921036362648,0.9980708360671996
