Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model,DMD:0_3D,DMD:1_3D,DMD:2_3D
gru,gru_2_ccdb1b61,ccdb1b61,-0.20012884807681713,0.17001423870450016,gru,2,False,0.48229523008054387,0.20113230261765722,-0.41810271086428263
gru,gru_2_fb2a0050,fb2a0050,-0.460308424585202,-0.40723095122526937,gru,2,False,0.025927687120027895,-0.6130678586304413,0.2794990075214336
gru,gru_2_a90fc898,a90fc898,0.43660665617995026,-0.43738143112469996,gru,2,False,0.6740098140170494,-0.015231760550848324,0.06946492892450704
gru,gru_2_9c7ed973,9c7ed973,-0.3487875281493226,-0.30264762233252235,gru,2,False,-0.3023874679276436,-0.06392068953467134,0.6017446301368686
gru,gru_2_1252e030,1252e030,0.48732982575578554,-0.062064567032975936,gru,2,False,-0.4866191228183887,0.07829998839408953,0.4804309831601733
gru,gru_2_2108a045,2108a045,-0.43778984936101895,-0.337824914776892,gru,2,False,0.6188429210749119,-0.15452371850837632,-0.14234111335478583
gru,gru_2_efe15f6a,efe15f6a,0.08621029550063207,-0.22815119146819018,gru,2,False,0.6024934269591541,-0.19983854557845754,0.1166655973939352
gru,gru_2_6113c2a1,6113c2a1,0.403872235817013,0.09520103656942365,gru,2,False,-0.12082322388617144,0.22738429623381304,-0.627100423766445
gru,gru_2_8f46fe6d,8f46fe6d,-0.28078723966040947,-0.4604255457043256,gru,2,False,-0.22230295126908656,-0.25845932683641126,-0.588665339045092
gru,gru_2_2ce0f713,2ce0f713,-0.4934506966623093,-0.11348167004388299,gru,2,False,0.24917989382632197,-0.5285918152339835,-0.34313460467541335
gru,gru_2_4abacb9e,4abacb9e,0.42663552582683173,-0.13369657528633738,gru,2,False,0.5355822483506525,-0.24999102549499755,0.3260464855318081
gru,gru_2_1d4cc959,1d4cc959,-0.47741592991786824,0.41543225491412755,gru,2,False,0.5234022265936686,0.35581085019029834,-0.2349032416903151
gru,gru_2_1c2b2641,1c2b2641,-0.547879035569531,-0.13161071081601808,gru,2,False,-0.3638635200131753,-0.17952072844712766,-0.5455515362712297
