Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model
gnode,gnode_2_6f68cc36,6f68cc36,-0.32013739849035955,0.5827007282953287,gnode,2,False
gnode,gnode_2_7f66f908,7f66f908,0.15090086045515586,-0.4457865445651231,gnode,2,False
gnode,gnode_2_d7c4a37a,d7c4a37a,0.27512342977942883,-0.10156171198587258,gnode,2,False
gnode,gnode_2_c13a73bf,c13a73bf,-0.2669157793551446,-0.2397023254685073,gnode,2,False
gnode,gnode_2_d566470b,d566470b,-0.48021978136896487,-0.14537023523261675,gnode,2,False
gnode,gnode_2_d4dfdc16,d4dfdc16,-0.4423256012464906,0.47233532170240805,gnode,2,False
gnode,gnode_2_53b7548a,53b7548a,0.18126120130879408,-0.14282552920688157,gnode,2,False
gnode,gnode_2_932a575d,932a575d,-0.4268200024269566,-0.14767855753320633,gnode,2,False
gnode,gnode_2_c7a1b705,c7a1b705,-0.5407282609708396,0.3332276160805465,gnode,2,False
gnode,gnode_2_d00662c5,d00662c5,-0.2989356317753668,-0.225946354930966,gnode,2,False
gnode,gnode_2_99eb3cdc,99eb3cdc,-0.3560032825965422,-0.14679718140553405,gnode,2,False
gnode,gnode_2_3d41d2b1,3d41d2b1,-0.46653646865109677,-0.10812551106712741,gnode,2,False
fr,fr_2_ecf08c3e,ecf08c3e,-0.13237427472440208,-0.45364717342032157,fr,2,False
fr,fr_2_0346e5e1,0346e5e1,-0.36665465750409404,0.0928935645098565,fr,2,False
fr,fr_2_2456e958,2456e958,0.5574879828638714,0.5168389401462543,fr,2,False
fr,fr_2_2fcbfe2e,2fcbfe2e,-0.17602119877893616,0.4373100264389135,fr,2,False
fr,fr_2_9123938b,9123938b,0.21732301584088856,0.5472379981155638,fr,2,False
fr,fr_2_491f4d12,491f4d12,-0.26473917143492653,-0.31333088656443203,fr,2,False
fr,fr_2_1cc9649b,1cc9649b,0.12925560450280899,0.5348959627788333,fr,2,False
fr,fr_2_5d21cdb9,5d21cdb9,0.08846759290555256,0.5996079239969807,fr,2,False
fr,fr_2_edd50266,edd50266,0.3512456087303638,-0.41925354351321464,fr,2,False
fr,fr_2_2bc7620c,2bc7620c,0.42949230497136864,0.17404378025377296,fr,2,False
fr,fr_2_11705b7b,11705b7b,-0.18970190606304174,-0.0842277441572395,fr,2,False
fr,fr_2_d74f44eb,d74f44eb,0.1232710427101765,-0.5497223123279606,fr,2,False
fr,fr_2_e9d58413,e9d58413,-0.45652440433416686,-0.25196400558097637,fr,2,False
fr,fr_2_edd50266,edd50266,0.519947053785983,-0.14864378034476936,fr,2,False
fr,fr_2_116e9443,116e9443,-0.011040422089012788,-0.4178360087167653,fr,2,False
fr,fr_2_2bc7620c,2bc7620c,-0.45840654981611206,0.4100762860268881,fr,2,False
fr,fr_2_11705b7b,11705b7b,-0.009109974975489836,0.2752506710365948,fr,2,False
fr,fr_2_d18cfa2a,d18cfa2a,0.45653964441010014,-0.4246580237037428,fr,2,False
fr,fr_2_54b25375,54b25375,0.389714475557485,0.30218496628781716,fr,2,False
fr,fr_2_d74f44eb,d74f44eb,-0.05509501962052698,-0.247358643280792,fr,2,False
fr,fr_2_ecf08c3e,ecf08c3e,0.14109583257813954,0.4036111233976454,fr,2,False
fr,fr_2_0346e5e1,0346e5e1,0.07635004538109935,0.4363825578649185,fr,2,False
fr,fr_2_2456e958,2456e958,0.38528947185817075,-0.5530409330018791,fr,2,False
fr,fr_2_2fcbfe2e,2fcbfe2e,0.3900674091837552,-0.22016542328151517,fr,2,False
fr,fr_2_9123938b,9123938b,0.37417609604408375,-0.11691136880104228,fr,2,False
fr,fr_2_491f4d12,491f4d12,0.07146085933934347,0.49843168961751444,fr,2,False
fr,fr_2_1cc9649b,1cc9649b,-0.5240118254095415,0.18274451592782714,fr,2,False
fr,fr_2_5d21cdb9,5d21cdb9,0.4907238148196623,0.350307719169987,fr,2,False
fr,fr_2_8f6f3eb3,8f6f3eb3,0.3141749863641008,-0.060784495248731786,fr,2,False
fr,fr_2_b76f7e9a,b76f7e9a,-0.4625677936468358,-0.5550853072625066,fr,2,False
fr,fr_2_8b2cf091,8b2cf091,-0.09915264012412357,-0.36485347443920124,fr,2,False
fr,fr_2_247fd6a4,247fd6a4,-0.34908739351086665,0.24873198915711928,fr,2,False
fr,fr_2_c729395b,c729395b,-0.12847964905064047,-0.16168347059284224,fr,2,False
fr,fr_2_57b349b4,57b349b4,0.29260837132092815,-0.22755781398179012,fr,2,False
fr,fr_2_a6ea90b2,a6ea90b2,0.30364431055496083,0.5755358210344798,fr,2,False
fr,fr_2_28c1a7de,28c1a7de,0.17738956593446129,0.2801190881804307,fr,2,False
fr,fr_2_8f6f3eb3,8f6f3eb3,-0.25646953264823164,-0.26162488946788554,fr,2,False
fr,fr_2_b76f7e9a,b76f7e9a,-0.3600096397238349,0.47472285691928623,fr,2,False
fr,fr_2_8b2cf091,8b2cf091,-0.4225407063771494,-0.020138227222152152,fr,2,False
fr,fr_2_247fd6a4,247fd6a4,0.25835930729154577,-0.09841404360390509,fr,2,False
fr,fr_2_c729395b,c729395b,0.5597512037799242,0.2579740464944258,fr,2,False
fr,fr_2_57b349b4,57b349b4,0.03240570517087882,-0.5460941489504194,fr,2,False
fr,fr_2_a6ea90b2,a6ea90b2,-0.37895383162105345,-0.5552391892703177,fr,2,False
fr,fr_2_28c1a7de,28c1a7de,0.5164070274277713,0.4561725069448355,fr,2,False
fr,fr_2_f1607a74,f1607a74,-0.422525227638133,-0.5644359261459071,fr,2,False
fr,fr_2_774d04ae,774d04ae,-0.1352319945494695,0.0957191046500449,fr,2,False
fr,fr_2_1ba2e4e7,1ba2e4e7,0.3492585598328118,0.46059326144818896,fr,2,False
fr,fr_2_a144a155,a144a155,-0.4443291491672458,-0.2644950653238093,fr,2,False
fr,fr_2_27ea651f,27ea651f,-0.16652979655796377,-0.5469125199292364,fr,2,False
fr,fr_2_822fb8eb,822fb8eb,0.5653796246030495,0.2508917347337788,fr,2,False
fr,fr_2_849e5565,849e5565,0.10376607856950287,0.35387378858511814,fr,2,False
fr,fr_2_ff5116ad,ff5116ad,0.004005367726238079,-0.455191304586266,fr,2,False
fr,fr_2_95e869f5,95e869f5,-0.5457710590379715,0.07397229617031179,fr,2,False
fr,fr_2_9cfa68af,9cfa68af,-0.4970403332301672,0.4203557503620914,fr,2,False
fr,fr_2_59aafcad,59aafcad,-0.26208752013653813,-0.038022844723361045,fr,2,False
fr,fr_2_51898186,51898186,0.23872794328114097,0.6488043654819587,fr,2,False
fr,fr_2_599d7410,599d7410,0.6304191480843244,0.6465541343813497,fr,2,False
fr,fr_2_39ca03fc,39ca03fc,0.2471011509092971,-0.01413596372127638,fr,2,False
fr,fr_2_5e371ba8,5e371ba8,-0.4329953714339112,0.11763606356338643,fr,2,False
fr,fr_2_83df3de8,83df3de8,-0.12157932376030431,0.4679682019412819,fr,2,False
fr,fr_2_27ea651f,27ea651f,-0.3352717519411803,-0.3835919030262227,fr,2,False
fr,fr_2_822fb8eb,822fb8eb,-0.24372892384858952,-0.6101163338002868,fr,2,False
fr,fr_2_849e5565,849e5565,-0.004847450808300754,0.281928347500287,fr,2,False
fr,fr_2_ff5116ad,ff5116ad,0.25092192624238707,-0.16550345168944125,fr,2,False
