hashname,model,latent_size,max_epochs,seed,lr,weight_decay,encoder_size,file_index,vf_hidden_size,vf_num_layers,output_nonlinearity,heldin_size,heldout_size,alpha,n_heldin,n_heldout,fr_scaling,rect_func,obs_noise,dispersion,state_r2,rate_r2,co-bps,cycle_con,source_table,model_from,normalized_latent_size,high_rate_r2,high_state_r2,high_cobps,high_cycle_con
99533ba3,gru,32,501,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.8901799321174622,0.4923642575740814,0.1004226058721542,0.9980628490447998,Table_2,GRU,0.0625,False,True,False,False
e2ba8806,gru,64,501,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.9121124148368835,0.4173153042793274,0.082557700574398,0.997132122516632,Table_2,GRU,0.125,False,True,False,False
e2ba8806,gru,64,501,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.9121124148368835,0.4173153042793274,0.082557700574398,0.997132122516632,Table_2,GRU,0.125,False,True,False,False
2e068dc3,fr,32,501,0,0.0001,0.0001,128,5,,,,280,300,,280,20,1.0,softplus,,1.0,0.9200145602226256,0.5996201634407043,0.1216547861695289,0.9985694885253906,Table_2,GRU,0.0625,False,True,False,False
2e068dc3,fr,32,501,0,0.0001,0.0001,128,5,,,,280,300,,280,20,1.0,softplus,,1.0,0.9200145602226256,0.5996201634407043,0.1216547861695289,0.9985694885253906,Table_2,GRU,0.0625,False,True,False,False
668e9d89,fr,64,501,0,0.0001,0.0001,128,5,,,,280,300,,280,20,1.0,softplus,,1.0,0.9117699265480042,0.4175488352775574,0.0826054438948631,0.9971344470977784,Table_2,GRU,0.125,False,True,False,False
668e9d89,fr,64,501,0,0.0001,0.0001,128,5,,,,280,300,,280,20,1.0,softplus,,1.0,0.9117699265480042,0.4175488352775574,0.0826054438948631,0.9971344470977784,Table_2,GRU,0.125,False,True,False,False
80a77dd3,gru,32,500,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.9028757214546204,0.7898921370506287,0.1652540564537048,0.9987804293632508,Table_2,GRU,0.0625,False,True,False,True
8b95b1f5,gru,32,500,0,0.0001,0.0001,128,5,,,,200,300,,200,100,1.0,softplus,,1.0,0.902965009212494,0.7898401021957397,0.1653398275375366,0.9987745881080629,Table_2,GRU,0.0625,False,True,False,True
8b95b1f5,gru,32,500,0,0.0001,0.0001,128,5,,,,200,300,,200,100,1.0,softplus,,1.0,0.902965009212494,0.7898401021957397,0.1653398275375366,0.9987745881080629,Table_2,GRU,0.0625,False,True,False,True
80a77dd3,gru,32,500,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.9028757214546204,0.7898921370506287,0.1652540564537048,0.9987804293632508,Table_2,GRU,0.0625,False,True,False,True
b6189ca3,gru,32,501,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.9014847278594972,0.7902904748916626,0.1653182953596115,0.998811662197113,Table_2,GRU,0.0625,False,True,False,True
b6189ca3,gru,32,501,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.9014847278594972,0.7902904748916626,0.1653182953596115,0.998811662197113,Table_2,GRU,0.0625,False,True,False,True
